ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1654124293,1727743698,1727743698194,1728397631,1728397631819,0,2,0,2,2,0,0,0,1,0.02,0.02,2626.8,2623.4,0.0,2626.746,0.0,XAUUSDm,no money,
1654377673,1727760970,1727760970165,1727767843,1727767843373,0,3,0,2,2,0,0,0,1,0.02,0.02,2650.4,2654.8,0.0,2642.336,0.0,XAUUSDm,,
1654377906,1727760983,1727760983257,1727767840,1727767840343,0,3,0,2,2,0,0,0,1,0.02,0.02,2651.4,2654.8,0.0,2642.454,0.0,XAUUSDm,,
1654378310,1727760997,1727760997595,1727767847,1727767847633,0,3,0,2,2,0,0,0,1,0.02,0.02,2652.4,2654.8,0.0,2642.469,0.0,XAUUSDm,,
1654379008,1727761020,1727761020995,1727767837,1727767837423,0,3,0,2,2,0,0,0,1,0.02,0.02,2649.4,2654.8,0.0,2642.538,0.0,XAUUSDm,,
1654379740,1727761063,1727761063973,1727767835,1727767835153,0,3,0,2,2,0,0,0,1,0.02,0.02,2651.4,2654.8,0.0,2642.518,0.0,XAUUSDm,,
1654563215,1727767640,1727767640433,1727767641,1727767641061,0,1,0,0,4,0,1654563215,0,1,0.02,0.0,0.0,0.0,0.0,2642.815,0.0,XAUUSDm,,
1654566121,1727767727,1727767727141,1727767727,1727767727782,0,1,0,0,4,0,1654566121,0,1,0.02,0.0,0.0,0.0,0.0,2642.69,0.0,XAUUSDm,,
1654567377,1727767771,1727767771713,1727767939,1727767939928,0,3,0,2,4,0,1654567377,0,1,0.02,0.0,2643.4,2646.8,0.0,2643.402,0.0,XAUUSDm,,
1654568006,1727767798,1727767798992,1727767950,1727767950250,0,3,0,2,2,0,0,0,1,0.02,0.02,2644.4,2646.8,0.0,2643.449,0.0,XAUUSDm,,
1654568678,1727767819,1727767819582,1727767820,1727767820230,0,1,0,0,4,0,1654568678,0,1,0.02,0.0,0.0,0.0,0.0,2642.56,0.0,XAUUSDm,,
1654570158,1727767869,1727767869690,1727767939,1727767939927,0,3,0,2,4,0,1654570158,0,1,0.02,0.0,2643.4,2646.8,0.0,2643.402,0.0,XAUUSDm,,
1654570248,1727767873,1727767873118,1727767873,1727767873755,0,1,0,0,4,0,1654570248,0,1,0.02,0.0,0.0,0.0,0.0,2642.605,0.0,XAUUSDm,,
1654625645,1727769490,1727769490160,1727769490,1727769490163,0,0,0,1,4,0,1654563215,0,4,0.02,0.0,2646.8,0.0,0.0,2646.8,0.0,XAUUSDm,[sl 2646.800],
1654625646,1727769490,1727769490160,1727769490,1727769490165,0,0,0,1,4,0,1654566121,0,4,0.02,0.0,2646.8,0.0,0.0,2646.8,0.0,XAUUSDm,[sl 2646.800],
1654625647,1727769490,1727769490160,1727769490,1727769490167,0,0,0,1,4,0,1654567377,0,4,0.02,0.0,2646.8,0.0,0.0,2646.8,0.0,XAUUSDm,[sl 2646.800],
1654625648,1727769490,1727769490160,1727769490,1727769490164,0,0,0,1,4,0,1654568678,0,4,0.02,0.0,2646.8,0.0,0.0,2646.8,0.0,XAUUSDm,[sl 2646.800],
1654625649,1727769490,1727769490160,1727769490,1727769490168,0,0,0,1,4,0,1654570158,0,4,0.02,0.0,2646.8,0.0,0.0,2646.8,0.0,XAUUSDm,[sl 2646.800],
1654625650,1727769490,1727769490160,1727769490,1727769490166,0,0,0,1,4,0,1654570248,0,4,0.02,0.0,2646.8,0.0,0.0,2646.8,0.0,XAUUSDm,[sl 2646.800],
1654683549,1727771124,1727771124635,1727771125,1727771125292,0,1,0,0,4,0,1654683549,0,1,0.02,0.0,0.0,0.0,0.0,2643.78,0.0,XAUUSDm,,
